p,mean p omega
0.0747,0.1970
0.1137,0.0640
0.1137,0.1137
0.1137,0.2199
0.1504,0.1697
0.0858,0.1566
0.0891,0.0880
0.0891,0.1418
0.0283,0.1311
0.1653,0.0572
0.1151,0.2949
0.7028,0.1611
0.1593,0.3025
0.1593,0.1593
0.1593,0.1552
0.0155,0.2067
0.2215,0.0832
0.2215,0.2215
0.2215,0.4919
0.6269,0.2132
0.0571,0.2589
0.5984,0.2905
0.1365,0.3728
0.2703,0.2034
0.2703,0.2158
0.2267,0.1465
0.0444,0.1295
0.0202,0.2181
0.0202,0.0492
0.0636,0.2071
0.3392,0.1555
0.1567,0.1801
0.2099,0.2393
0.0925,0.1708
0.0925,0.0925
0.0925,0.1374
0.1575,0.1222
0.1017,0.1384
0.2132,0.0882
0.0747,0.2461
0.2925,0.1189
0.0338,0.1974
0.1137,0.1770
0.2102,0.1578
0.1935,0.1911
0.1935,0.1666
0.2880,0.1993
0.0283,0.1587
0.0283,0.0283
0.0283,0.1798
0.1151,0.0977
0.1151,0.0444
0.0090,0.1107
0.1593,0.1519
0.4305,0.2389
0.4305,0.1517
0.0804,0.2359
0.2215,0.2459
0.6012,0.3071
0.1879,0.3223
0.0305,0.2723
0.5984,0.2588
0.4861,0.3057
0.2703,0.2589
0.1396,0.2192
0.0444,0.1326
0.0444,0.0444
0.6004,0.0866
0.0636,0.0817
0.0636,0.0636
0.0636,0.2251
0.3342,0.2249
0.3342,0.2720
0.2099,0.2815
0.3763,0.2154
0.1421,0.2055
0.1421,0.1258
0.1017,0.1187
0.1017,0.2806
0.4038,0.2182
0.2925,0.3424
0.2697,0.1764
0.2102,0.1907
0.2102,0.2102
0.2102,0.2022
0.1935,0.3399
0.2295,0.3110
0.2295,0.0919
0.0283,0.2412
0.4107,0.1170
0.1151,0.2519
0.0090,0.0693
0.0090,0.0090
0.0090,0.1494
0.2972,0.2043
0.0804,0.2170
0.0703,0.0784
0.0804,0.1539
0.1879,0.3582
0.0305,0.1486
0.0305,0.0305
0.0305,0.2659
0.2174,0.2184
0.1396,0.2112
0.1396,0.1346
0.1197,0.0870
0.0444,0.1701
0.0431,0.2123
0.1614,0.0534
0.0636,0.1459
0.1634,0.1241
0.2768,0.2478
0.3342,0.2733
0.3231,0.2566
0.3231,0.2485
0.2111,0.1847
0.1017,0.1665
0.1698,0.2216
0.4038,0.2113
0.4038,0.4219
0.4038,0.3404
0.1692,0.1867
0.1692,0.1740
0.2102,0.1744
0.2118,0.2351
0.5329,0.2851
0.5329,0.2313
0.0814,0.2850
0.2962,0.1218
0.2962,0.4503
0.4729,0.1242
0.0382,0.1346
0.0090,0.0567
0.1322,0.1118
0.2972,0.1992
0.0703,0.2341
0.0703,0.0867
0.1360,0.2518
0.7206,0.1620
0.1879,0.2039
0.0305,0.2622
0.2174,0.0781
0.2174,0.2174
0.2174,0.3030
0.1396,0.1940
0.1197,0.1488
0.0431,0.1266
0.0431,0.0431
0.0431,0.1495
0.1953,0.0728
0.0923,0.1643
0.1592,0.1551
0.1592,0.2030
0.1592,0.2133
0.2111,0.2236
0.2111,0.2111
0.2111,0.1631
0.1698,0.1330
0.1698,0.3247
0.4762,0.3425
0.3203,0.3693
0.1212,0.2574
0.1065,0.1295
0.1065,0.1324
0.1065,0.1806
0.2021,0.2430
0.0814,0.4046
0.0814,0.0814
0.0814,0.2691
0.6215,0.1620
0.0475,0.2851
0.0475,0.0456
0.0475,0.0629
0.1322,0.1631
0.2972,0.3324
0.5387,0.1459
0.0703,0.2399
0.1360,0.1196
0.1360,0.2969
0.0340,0.1223
0.0340,0.0333
0.0340,0.1533
0.2174,0.2091
0.4405,0.2197
0.2994,0.2571
0.2928,0.2528
0.2994,0.1662
0.0431,0.2066
0.1982,0.0537
0.0923,0.1703
0.0923,0.0801
0.0923,0.1991
0.1592,0.1283
0.1599,0.2121
0.3178,0.2250
0.2111,0.3232
0.1698,0.2540
0.0225,0.2156
0.4762,0.2815
0.4762,0.4762
0.4762,0.4375
0.4336,0.2988
0.1212,0.2490
0.1065,0.2095
0.2021,0.2181
0.2513,0.3773
0.8018,0.0868
0.0814,0.0910
0.0776,0.1158
0.2229,0.2273
0.0698,0.1352
0.0475,0.0624
0.4405,0.2583
0.1757,0.2208
0.1552,0.2996
0.2931,0.2245
0.2146,0.0776
0.1360,0.1884
0.1294,0.2257
0.1314,0.0665
0.0340,0.1149
0.1445,0.1523
0.1445,0.1484
0.1445,0.2241
0.1556,0.2497
0.2928,0.2777
0.2859,0.3431
0.2859,0.1005
0.0364,0.1705
0.1953,0.2173
0.0435,0.1792
0.3857,0.0848
0.1599,0.2038
0.0804,0.1844
0.3178,0.2585
0.5942,0.4068
0.4238,0.2023
0.0225,0.0225
0.0225,0.3031
0.4762,0.4064
0.5200,0.5070
0.4767,0.3959
0.3151,0.3303
0.4082,0.3095
0.4082,0.3517
0.3923,0.3639
0.3923,0.2067
0.1139,0.1663
0.0776,0.1115
0.1405,0.1659
0.2229,0.0811
0.0698,0.1756
0.1757,0.1804
0.1552,0.1723
0.1552,0.1552
0.1552,0.0694
0.0264,0.1527
0.2146,0.1553
0.1314,0.0981
0.1314,0.1314
0.1314,0.1873
0.3965,0.1899
0.0872,0.2650
0.1556,0.1186
0.1556,0.2660
0.3763,0.2952
0.4944,0.2441
0.0364,0.2736
0.0364,0.0364
0.0364,0.1571
