p,mean p omega,u,deg
0.9780,0.9772,9.9634,5.0000
0.9801,0.9864,9.7954,3.0000
0.9629,0.9730,9.9235,5.0000
0.9719,0.9584,9.9200,6.0000
0.9935,0.9656,10.0490,5.0000
0.9801,0.9684,10.1564,3.0000
0.8223,0.9780,8.9472,3.0000
0.9855,0.9637,10.3267,4.0000
0.9637,0.9704,9.9517,3.0000
0.9706,0.9646,10.0057,2.0000
0.9781,0.9848,10.0132,5.0000
0.9647,0.9408,9.9120,4.0000
0.9801,0.9522,10.5158,3.0000
0.9936,0.9744,10.1141,7.0000
0.9801,0.9829,9.9710,2.0000
0.7573,NaN,0.0000,0.0000
0.9801,0.9809,10.3330,1.0000
0.9763,0.9620,9.9760,3.0000
0.9809,0.9501,10.1545,4.0000
0.9801,0.9529,9.9917,1.0000
0.9629,0.9593,10.4696,5.0000
0.9801,0.9844,9.9069,2.0000
0.9644,0.9707,9.9343,7.0000
0.9801,0.9730,9.9245,5.0000
0.9719,0.9755,10.0867,4.0000
0.9820,0.9750,9.9970,2.0000
0.8223,0.9777,9.5026,5.0000
0.9727,0.9832,10.0081,2.0000
0.9801,0.9891,10.3295,3.0000
0.9545,0.9791,9.7597,2.0000
0.9855,0.9774,9.9694,5.0000
0.9781,0.9779,9.9536,6.0000
0.9647,0.9763,10.1352,6.0000
0.9204,0.9719,10.0256,6.0000
0.9801,0.9791,9.9935,2.0000
0.9936,0.9848,9.8350,4.0000
0.9801,0.9733,10.1317,5.0000
0.9855,0.9804,9.9717,3.0000
0.9690,0.9016,10.0112,2.0000
0.9809,0.9754,9.8912,3.0000
0.9809,0.9731,10.0664,6.0000
0.9801,0.9293,9.9273,1.0000
0.9504,0.9660,9.8129,4.0000
0.9648,0.9792,9.9387,5.0000
0.9849,0.9663,10.1174,4.0000
0.9637,0.9639,10.1939,2.0000
0.9849,0.9820,9.8803,5.0000
0.9845,0.9817,9.9590,5.0000
0.9748,0.9781,9.9675,1.0000
0.9826,0.9656,10.2645,5.0000
0.9515,0.9772,9.8996,4.0000
0.9809,0.9828,9.8376,2.0000
0.9629,0.9606,10.1255,3.0000
0.9801,0.9480,9.9917,5.0000
0.9547,0.9823,9.8102,7.0000
0.9545,0.9701,9.9514,7.0000
0.9727,0.9810,9.9358,2.0000
0.9809,0.9795,9.9066,3.0000
0.9584,0.9726,9.9601,6.0000
0.9513,0.9715,9.8150,2.0000
0.9647,0.9688,9.9529,4.0000
0.9468,0.9810,10.2686,2.0000
0.9809,0.9715,10.0153,8.0000
0.9826,0.9662,10.1011,3.0000
0.9847,0.9591,9.9785,2.0000
0.9780,0.9654,10.2012,3.0000
0.9849,0.9711,10.0206,4.0000
0.9801,0.9527,10.1442,4.0000
0.9497,0.9871,9.6903,6.0000
0.9781,0.9425,9.9480,2.0000
0.9809,0.9685,10.0854,5.0000
0.9204,0.9733,9.9737,6.0000
0.9665,NaN,0.0000,0.0000
0.9801,0.9747,7.6490,2.0000
0.9644,0.9776,9.8203,4.0000
0.9936,0.9826,10.1098,1.0000
0.9936,0.9795,10.1009,2.0000
0.8223,0.9607,9.7729,4.0000
0.9884,0.9780,10.0652,5.0000
0.9826,0.9669,10.0569,2.0000
0.9936,0.9766,9.9591,6.0000
0.9887,0.9801,10.1077,1.0000
0.7585,0.9789,9.2767,3.0000
0.9637,0.9784,9.8414,6.0000
0.9637,0.9456,9.8583,5.0000
0.9809,0.9302,10.3025,6.0000
0.9547,0.9854,9.7244,7.0000
